id;contact_3rd_sector_hl;contact_academy_hl;contact_teeth_hl;contact_employee_hl;contact_ent_finan_hl;contact_status_hl;international_contact_hl;contact_media_comunc_hl;contact_org_community_hl;contact_regulatory_organisms_hl;contact_proveedores_hl;contact_social_networks;contact_shareholders_hl
1;false;true;false;true;false;true;false;false;true;true;true;false;true
2;true;true;true;false;false;true;true;true;true;true;false;false;false
3;true;false;true;true;true;true;false;false;true;true;false;true;true
4;true;false;true;true;false;false;false;true;true;false;true;true;true
5;false;true;false;false;false;false;true;false;false;false;false;true;false
6;false;false;false;false;true;false;true;false;false;false;false;true;false
7;false;false;false;false;true;false;true;false;true;false;false;true;false
8;true;false;false;true;true;false;true;true;true;true;true;true;false
9;false;true;true;true;false;false;false;false;false;true;false;true;true
10;false;false;false;true;true;false;false;true;true;true;true;false;false
